selection_id,selection_group,pair_id,source_file,source_row,instance_id,repository,model_name,target,exit_status,issue_title,message_count,ai_turns,valid_cycles,length_band,complete_cycle_ratio,mean_thought_chars,action_categories,patch_chars,eval_log_chars,quality_score,selection_reason
CASE-0014,paired,P07,train-00002-of-00012.jsonl,2928,pydantic__pydantic-4884,pydantic__pydantic,swe-agent-llama-405b,False,submitted (exit_context),Pydantic doesn't properly parses models with custom root into custom root models,99,49,48,40+,0.979592,241.62,edit|inspect|run,1332,3408,88.597,matched success/failure trajectory for the same task and model
CASE-0015,paired,P08,train-00011-of-00012.jsonl,5399,ebmdatalab__datalab-pandas-29,ebmdatalab__datalab-pandas,swe-agent-llama-405b,True,submitted,`bq.cached_read` fails confusingly if parent directory doesn't exist,27,13,12,10-19,0.923077,249.25,edit|inspect|other|test,547,1968,77.968,matched success/failure trajectory for the same task and model
CASE-0016,paired,P08,train-00011-of-00012.jsonl,5370,ebmdatalab__datalab-pandas-29,ebmdatalab__datalab-pandas,swe-agent-llama-405b,False,submitted,`bq.cached_read` fails confusingly if parent directory doesn't exist,51,25,24,20-39,0.96,280.88,edit|inspect|other|test,1269,2050,87.425,matched success/failure trajectory for the same task and model
CASE-0017,paired,P09,train-00005-of-00012.jsonl,1820,pypa__hatch-422,pypa__hatch,swe-agent-llama-405b,True,submitted,`hatch version <new-version>` fails when any custom metadata hook is installed,49,24,23,20-39,0.958333,165.3,edit|inspect|other,3801,1931,77.598,matched success/failure trajectory for the same task and model
CASE-0018,paired,P09,train-00005-of-00012.jsonl,1887,pypa__hatch-422,pypa__hatch,swe-agent-llama-405b,False,submitted (exit_context),`hatch version <new-version>` fails when any custom metadata hook is installed,91,45,44,40+,0.977778,275.43,edit|inspect|other,2443,1993,89.536,matched success/failure trajectory for the same task and model
CASE-0019,paired,P10,train-00006-of-00012.jsonl,2909,networkx__networkx-5903,networkx__networkx,swe-agent-llama-405b,True,submitted,`relabel_nodes` does not work for callables with `__getitem__`,29,14,13,10-19,0.928571,254.62,edit|inspect|other|run,542,4055,74.703,matched success/failure trajectory for the same task and model
CASE-0020,paired,P10,train-00006-of-00012.jsonl,2953,networkx__networkx-5903,networkx__networkx,swe-agent-llama-405b,False,submitted (exit_context),`relabel_nodes` does not work for callables with `__getitem__`,69,34,33,20-39,0.970588,403.27,edit|inspect|other|run,803,4123,90.059,matched success/failure trajectory for the same task and model
CASE-0021,paired,P100,train-00008-of-00012.jsonl,5565,tianocore__edk2-pytool-library-238,tianocore__edk2-pytool-library,swe-agent-llama-70b,True,submitted,[Bug]: Loading EFiVariableAuthentication2 from Filestream results in exception,79,39,36,20-39,0.923077,344.97,edit|inspect|other|run|test,964,2988,96.702,matched success/failure trajectory for the same task and model
CASE-0022,paired,P100,train-00008-of-00012.jsonl,5572,tianocore__edk2-pytool-library-238,tianocore__edk2-pytool-library,swe-agent-llama-70b,False,submitted (exit_context),[Bug]: Loading EFiVariableAuthentication2 from Filestream results in exception,65,32,31,20-39,0.96875,374.45,edit|inspect|other|run,42392,3531,89.031,matched success/failure trajectory for the same task and model
CASE-0023,paired,P101,train-00000-of-00012.jsonl,32,Melevir__cognitive_complexity-15,Melevir__cognitive_complexity,swe-agent-llama-70b,True,submitted (exit_context),Incorrect counting for sequences of binary logical operators,81,40,39,20-39,0.975,355.77,edit|inspect|run|test,3921,3460,97.125,matched success/failure trajectory for the same task and model
CASE-0024,paired,P101,train-00000-of-00012.jsonl,60,Melevir__cognitive_complexity-15,Melevir__cognitive_complexity,swe-agent-llama-70b,False,submitted,Incorrect counting for sequences of binary logical operators,43,21,20,20-39,0.952381,475.8,edit|inspect|other|run|test,2917,3417,89.286,matched success/failure trajectory for the same task and model
CASE-0025,paired,P102,train-00011-of-00012.jsonl,5196,astropy__astroquery-2444,astropy__astroquery,swe-agent-llama-70b,True,submitted (exit_context),SvoFps.get_filter_index unit conversion issue?,85,42,41,40+,0.97619,280.8,edit|inspect|other|run,1752,2479,91.666,matched success/failure trajectory for the same task and model
CASE-0026,paired,P102,train-00011-of-00012.jsonl,5226,astropy__astroquery-2444,astropy__astroquery,swe-agent-llama-70b,False,submitted (exit_context),SvoFps.get_filter_index unit conversion issue?,91,45,40,40+,0.888889,241.57,edit|inspect|other|run|test,1337,2486,95.235,matched success/failure trajectory for the same task and model
CASE-0027,paired,P103,train-00010-of-00012.jsonl,5463,auth0__auth0-python-195,auth0__auth0-python,swe-agent-llama-70b,True,submitted (exit_context),rules_config.unset does not work,107,53,52,40+,0.981132,370.67,edit|inspect|other|run,1145,2045,91.717,matched success/failure trajectory for the same task and model
CASE-0028,paired,P103,train-00010-of-00012.jsonl,5508,auth0__auth0-python-195,auth0__auth0-python,swe-agent-llama-70b,False,submitted (exit_context),rules_config.unset does not work,75,37,36,20-39,0.972973,671.47,edit|inspect|other|run,1239,2008,91.595,matched success/failure trajectory for the same task and model
CASE-0029,paired,P104,train-00008-of-00012.jsonl,1694,docker__docker-py-1150,docker__docker-py,swe-agent-llama-70b,True,submitted (exit_context),Client.build crashes when trying to pull a new image if HttpHeaders are set in config file,67,33,32,20-39,0.969697,308.69,edit|inspect|other|run,1503,10917,88.365,matched success/failure trajectory for the same task and model
CASE-0030,paired,P104,train-00008-of-00012.jsonl,1675,docker__docker-py-1150,docker__docker-py,swe-agent-llama-70b,False,submitted (exit_context),Client.build crashes when trying to pull a new image if HttpHeaders are set in config file,73,36,35,20-39,0.972222,438.0,edit|inspect|other|run|test,3470,10985,97.083,matched success/failure trajectory for the same task and model
CASE-0031,paired,P105,train-00006-of-00012.jsonl,5147,European-XFEL__EXtra-data-375,European-XFEL__EXtra-data,swe-agent-llama-70b,True,submitted (exit_context),RunDirectory does not work as context manager when voview file present,119,59,58,40+,0.983051,276.6,edit|inspect|run,2550,2115,87.649,matched success/failure trajectory for the same task and model
CASE-0032,paired,P105,train-00006-of-00012.jsonl,5137,European-XFEL__EXtra-data-375,European-XFEL__EXtra-data,swe-agent-llama-70b,False,submitted,RunDirectory does not work as context manager when voview file present,75,37,35,20-39,0.945946,302.43,edit|inspect|other|run|test,1887,2322,95.33,matched success/failure trajectory for the same task and model
CASE-0033,paired,P106,train-00003-of-00012.jsonl,733,construct__construct-889,construct__construct,swe-agent-llama-70b,True,submitted,build_file() crashes when using RawCopy with a value only,59,29,27,20-39,0.931034,229.78,edit|inspect|other|test,1489,10664,87.031,matched success/failure trajectory for the same task and model
CASE-0034,paired,P106,train-00003-of-00012.jsonl,736,construct__construct-889,construct__construct,swe-agent-llama-70b,False,submitted (exit_context),build_file() crashes when using RawCopy with a value only,89,44,43,40+,0.977273,234.26,edit|inspect|other|run|test,583,10512,96.352,matched success/failure trajectory for the same task and model
CASE-0035,paired,P107,train-00002-of-00012.jsonl,2224,alephdata__followthemoney-871,alephdata__followthemoney,swe-agent-llama-70b,True,submitted (exit_context),Better error handling regarding invalid domains in e-mail cleanup,77,38,37,20-39,0.973684,363.57,edit|inspect|test,1653,1908,94.105,matched success/failure trajectory for the same task and model
CASE-0036,paired,P107,train-00002-of-00012.jsonl,2219,alephdata__followthemoney-871,alephdata__followthemoney,swe-agent-llama-70b,False,submitted,Better error handling regarding invalid domains in e-mail cleanup,59,29,27,20-39,0.931034,378.07,edit|inspect|other|test,791,1867,90.466,matched success/failure trajectory for the same task and model
CASE-0037,paired,P108,train-00007-of-00012.jsonl,2137,mozilla__bleach-434,mozilla__bleach,swe-agent-llama-70b,True,submitted,Style filter does not work correctly when supplied non-ASCII style attribute,71,35,32,20-39,0.914286,374.44,edit|inspect|other|run,754,4593,88.714,matched success/failure trajectory for the same task and model
CASE-0038,paired,P108,train-00007-of-00012.jsonl,2147,mozilla__bleach-434,mozilla__bleach,swe-agent-llama-70b,False,submitted (exit_context),Style filter does not work correctly when supplied non-ASCII style attribute,97,48,47,40+,0.979167,457.85,edit|inspect|other|run,1543,4661,93.688,matched success/failure trajectory for the same task and model
CASE-0039,paired,P109,train-00005-of-00012.jsonl,2938,kiwicom__structlog-sentry-18,kiwicom__structlog-sentry,swe-agent-llama-70b,True,submitted (exit_context),Can't use format_exc_info with SentryProcessor,55,27,26,20-39,0.962963,303.35,edit|inspect|test,2064,4126,87.112,matched success/failure trajectory for the same task and model
CASE-0040,paired,P109,train-00005-of-00012.jsonl,2939,kiwicom__structlog-sentry-18,kiwicom__structlog-sentry,swe-agent-llama-70b,False,submitted (exit_context),Can't use format_exc_info with SentryProcessor,83,41,40,40+,0.97561,350.55,edit|inspect|test,2918,4177,95.634,matched success/failure trajectory for the same task and model
CASE-0041,paired,P11,train-00004-of-00012.jsonl,152,ShawHahnLab__igseq-57,ShawHahnLab__igseq,swe-agent-llama-405b,True,submitted,tree color-coding crashes when exactly one set is defined,27,13,11,10-19,0.846154,298.64,edit|inspect|other|run,930,2592,73.725,matched success/failure trajectory for the same task and model
CASE-0042,paired,P11,train-00004-of-00012.jsonl,131,ShawHahnLab__igseq-57,ShawHahnLab__igseq,swe-agent-llama-405b,False,submitted (exit_context),tree color-coding crashes when exactly one set is defined,71,35,33,20-39,0.942857,364.94,edit|inspect|other|run,2012,2578,89.643,matched success/failure trajectory for the same task and model
CASE-0043,paired,P110,train-00007-of-00012.jsonl,4633,betamaxpy__betamax-170,betamaxpy__betamax,swe-agent-llama-70b,True,submitted (exit_context),A blank string used for placeholder replacement can cause memory issue,111,55,54,40+,0.981818,252.8,edit|inspect|other|run,3542,3773,88.95,matched success/failure trajectory for the same task and model
CASE-0044,paired,P110,train-00007-of-00012.jsonl,4625,betamaxpy__betamax-170,betamaxpy__betamax,swe-agent-llama-70b,False,submitted,A blank string used for placeholder replacement can cause memory issue,107,53,51,40+,0.962264,287.16,edit|inspect|other|run|test,6162,3844,95.639,matched success/failure trajectory for the same task and model
CASE-0045,paired,P111,train-00000-of-00012.jsonl,5590,hhursev__recipe-scrapers-915,hhursev__recipe-scrapers,swe-agent-llama-70b,True,submitted (exit_context),bug: get_minutes returns precise-zero-minutes during fallback text matching case,37,18,17,10-19,0.944444,443.47,edit|inspect|other|test,2686,8806,85.667,matched success/failure trajectory for the same task and model
CASE-0046,paired,P111,train-00000-of-00012.jsonl,5572,hhursev__recipe-scrapers-915,hhursev__recipe-scrapers,swe-agent-llama-70b,False,submitted,bug: get_minutes returns precise-zero-minutes during fallback text matching case,97,48,47,40+,0.979167,257.4,edit|inspect|other|run|test,1378,3015,97.042,matched success/failure trajectory for the same task and model
CASE-0047,paired,P112,train-00008-of-00012.jsonl,356,SmileyChris__django-countries-339,SmileyChris__django-countries,swe-agent-llama-70b,True,submitted,Applying migrations with CountryField fails with Django 3.2,109,54,51,40+,0.944444,165.18,edit|inspect|other|run|test,7385,9245,91.886,matched success/failure trajectory for the same task and model
CASE-0048,paired,P112,train-00008-of-00012.jsonl,341,SmileyChris__django-countries-339,SmileyChris__django-countries,swe-agent-llama-70b,False,submitted,Applying migrations with CountryField fails with Django 3.2,83,41,40,40+,0.97561,330.9,edit|inspect|other|run,1360,8578,93.088,matched success/failure trajectory for the same task and model
CASE-0049,paired,P113,train-00001-of-00012.jsonl,3982,rapidpro__rapidpro-python-38,rapidpro__rapidpro-python,swe-agent-llama-70b,True,submitted (exit_context),Null DatetimeField raises an exception upon serialisation request,109,54,53,40+,0.981481,268.51,edit|inspect|run,1253,2423,87.394,matched success/failure trajectory for the same task and model
CASE-0050,paired,P113,train-00001-of-00012.jsonl,3984,rapidpro__rapidpro-python-38,rapidpro__rapidpro-python,swe-agent-llama-70b,False,submitted,Null DatetimeField raises an exception upon serialisation request,95,47,46,40+,0.978723,275.52,edit|inspect|other|run|test,1323,2472,97.553,matched success/failure trajectory for the same task and model
CASE-0051,paired,P114,train-00004-of-00012.jsonl,5971,seequent__pure_interface-54,seequent__pure_interface,swe-agent-llama-70b,True,submitted,PI does not work with __init_subclass__ with kwargs,33,16,15,10-19,0.9375,294.53,edit|inspect|other|run|test,1607,1956,84.978,matched success/failure trajectory for the same task and model
CASE-0052,paired,P114,train-00004-of-00012.jsonl,5953,seequent__pure_interface-54,seequent__pure_interface,swe-agent-llama-70b,False,submitted,PI does not work with __init_subclass__ with kwargs,83,41,40,40+,0.97561,333.95,edit|inspect|other|run|test,5122,2236,99.176,matched success/failure trajectory for the same task and model
CASE-0053,paired,P115,train-00007-of-00012.jsonl,226,corteva__rioxarray-388,corteva__rioxarray,swe-agent-llama-70b,True,submitted,IndexError on compute() when using mask_and_scale=True and dask chunking along band dimension,63,31,28,20-39,0.903226,344.21,edit|inspect|other|run|test,1094,12261,92.383,matched success/failure trajectory for the same task and model
CASE-0054,paired,P115,train-00007-of-00012.jsonl,255,corteva__rioxarray-388,corteva__rioxarray,swe-agent-llama-70b,False,submitted,IndexError on compute() when using mask_and_scale=True and dask chunking along band dimension,61,30,29,20-39,0.966667,322.07,edit|inspect|other|run|test,4747,12940,93.202,matched success/failure trajectory for the same task and model
CASE-0055,paired,P116,train-00008-of-00012.jsonl,4953,cunla__fakeredis-py-238,cunla__fakeredis-py,swe-agent-llama-70b,True,submitted (exit_context),WRONGTYPE Operation against a key holding the wrong kind of value in XREADGROUP,73,36,35,20-39,0.972222,567.83,edit|inspect|run,1462,7428,89.083,matched success/failure trajectory for the same task and model
CASE-0056,paired,P116,train-00008-of-00012.jsonl,4993,cunla__fakeredis-py-238,cunla__fakeredis-py,swe-agent-llama-70b,False,submitted (exit_context),WRONGTYPE Operation against a key holding the wrong kind of value in XREADGROUP,123,61,60,40+,0.983607,320.52,edit|inspect|run|test,2462,7723,94.912,matched success/failure trajectory for the same task and model
CASE-0057,paired,P117,train-00001-of-00012.jsonl,5771,INM-6__python-odmltables-120,INM-6__python-odmltables,swe-agent-llama-70b,True,submitted (exit_context),Error when converting empty (apart from header) csv file,173,86,85,40+,0.988372,245.89,edit|inspect|run,1030,4298,86.851,matched success/failure trajectory for the same task and model
CASE-0058,paired,P117,train-00001-of-00012.jsonl,5776,INM-6__python-odmltables-120,INM-6__python-odmltables,swe-agent-llama-70b,False,submitted (exit_context),Error when converting empty (apart from header) csv file,83,41,40,40+,0.97561,486.15,edit|inspect|other|test,1326,4252,97.634,matched success/failure trajectory for the same task and model
CASE-0059,paired,P118,train-00009-of-00012.jsonl,639,pylint-dev__astroid-1903,pylint-dev__astroid,swe-agent-llama-70b,True,submitted (exit_context),Unhandled AttributeError during str.format template evaluation,167,83,82,40+,0.987952,193.12,edit|inspect|run|test,1995,4139,91.337,matched success/failure trajectory for the same task and model
CASE-0060,paired,P118,train-00009-of-00012.jsonl,645,pylint-dev__astroid-1903,pylint-dev__astroid,swe-agent-llama-70b,False,submitted (exit_context),Unhandled AttributeError during str.format template evaluation,87,43,36,20-39,0.837209,246.14,edit|inspect|run|test,2779,2538,90.591,matched success/failure trajectory for the same task and model
CASE-0061,paired,P119,train-00000-of-00012.jsonl,1905,gibsramen__evident-23,gibsramen__evident,swe-agent-llama-70b,True,submitted,Fix NaN issue in OnlyOneCategory exception,57,28,27,20-39,0.964286,267.48,edit|inspect|other|run,803,2209,84.607,matched success/failure trajectory for the same task and model
CASE-0062,paired,P119,train-00000-of-00012.jsonl,1904,gibsramen__evident-23,gibsramen__evident,swe-agent-llama-70b,False,submitted,Fix NaN issue in OnlyOneCategory exception,103,51,48,40+,0.941176,377.88,edit|inspect|other|test,1824,2394,97.118,matched success/failure trajectory for the same task and model
CASE-0063,paired,P12,train-00000-of-00012.jsonl,701,networkx__networkx-7024,networkx__networkx,swe-agent-llama-405b,True,submitted,```is_k_edge_connected``` incorrectly returns True for k=2 with multi-component graphs without bridges,23,11,10,10-19,0.909091,308.4,edit|inspect|other|run,638,5491,74.448,matched success/failure trajectory for the same task and model
CASE-0064,paired,P12,train-00000-of-00012.jsonl,772,networkx__networkx-7024,networkx__networkx,swe-agent-llama-405b,False,submitted,```is_k_edge_connected``` incorrectly returns True for k=2 with multi-component graphs without bridges,37,18,17,10-19,0.944444,203.82,edit|inspect|other|run,619,5492,77.49,matched success/failure trajectory for the same task and model
CASE-0065,paired,P120,train-00011-of-00012.jsonl,5048,alerta__python-alerta-client-205,alerta__python-alerta-client,swe-agent-llama-70b,True,submitted (exit_context),`alerta heartbeats --alert` broken,91,45,44,40+,0.977778,446.84,edit|inspect|run,3380,1970,91.667,matched success/failure trajectory for the same task and model
CASE-0066,paired,P120,train-00011-of-00012.jsonl,5046,alerta__python-alerta-client-205,alerta__python-alerta-client,swe-agent-llama-70b,False,submitted (exit_context),`alerta heartbeats --alert` broken,87,43,42,40+,0.976744,335.14,edit|inspect|other|run,658,1862,93.227,matched success/failure trajectory for the same task and model
CASE-0067,paired,P121,train-00011-of-00012.jsonl,2360,wfondrie__mokapot-65,wfondrie__mokapot,swe-agent-llama-70b,True,submitted,[BUG] Different scores for LinearConfidence and GroupConfidence,85,42,40,40+,0.952381,264.27,edit|inspect|other|run,1482,1751,90.836,matched success/failure trajectory for the same task and model
CASE-0068,paired,P121,train-00011-of-00012.jsonl,2354,wfondrie__mokapot-65,wfondrie__mokapot,swe-agent-llama-70b,False,submitted,[BUG] Different scores for LinearConfidence and GroupConfidence,99,49,47,40+,0.959184,465.11,edit|inspect|other|run,1828,1966,93.388,matched success/failure trajectory for the same task and model
CASE-0069,paired,P122,train-00001-of-00012.jsonl,1796,adamchainz__apig-wsgi-290,adamchainz__apig-wsgi,swe-agent-llama-70b,True,submitted (exit_context),Error when requestContext is None,79,39,36,20-39,0.923077,328.81,edit|inspect|test,1706,8798,92.241,matched success/failure trajectory for the same task and model
CASE-0070,paired,P122,train-00001-of-00012.jsonl,1763,adamchainz__apig-wsgi-290,adamchainz__apig-wsgi,swe-agent-llama-70b,False,submitted,Error when requestContext is None,73,36,34,20-39,0.944444,186.26,edit|inspect|other|run|test,1210,8917,91.488,matched success/failure trajectory for the same task and model
CASE-0071,paired,P123,train-00003-of-00012.jsonl,2679,scrapinghub__price-parser-43,scrapinghub__price-parser,swe-agent-llama-70b,True,submitted,Bug non break space.,33,16,15,10-19,0.9375,333.8,edit|inspect|other|test,562,61115,84.1,matched success/failure trajectory for the same task and model
CASE-0072,paired,P123,train-00003-of-00012.jsonl,2671,scrapinghub__price-parser-43,scrapinghub__price-parser,swe-agent-llama-70b,False,submitted (exit_context),Bug non break space.,175,87,86,40+,0.988506,346.37,edit|inspect|other|run|test,751,2422,97.724,matched success/failure trajectory for the same task and model
CASE-0073,paired,P124,train-00008-of-00012.jsonl,5736,PennChopMicrobiomeProgram__illqc-17,PennChopMicrobiomeProgram__illqc,swe-agent-llama-70b,True,submitted,Cannot configure setting for sliding window,49,24,23,20-39,0.958333,252.39,edit|inspect|other|run|test,1306,1803,88.086,matched success/failure trajectory for the same task and model
CASE-0074,paired,P124,train-00008-of-00012.jsonl,5731,PennChopMicrobiomeProgram__illqc-17,PennChopMicrobiomeProgram__illqc,swe-agent-llama-70b,False,submitted (exit_context),Cannot configure setting for sliding window,107,53,52,40+,0.981132,344.52,edit|inspect|test,1593,1803,93.56,matched success/failure trajectory for the same task and model
CASE-0075,paired,P125,train-00008-of-00012.jsonl,2517,macbre__sql-metadata-127,macbre__sql-metadata,swe-agent-llama-70b,True,submitted,sql_metadata.get_query_columns  result error,37,18,17,10-19,0.944444,388.41,edit|inspect|other|run|test,1110,2269,87.667,matched success/failure trajectory for the same task and model
CASE-0076,paired,P125,train-00008-of-00012.jsonl,2523,macbre__sql-metadata-127,macbre__sql-metadata,swe-agent-llama-70b,False,submitted (exit_context),sql_metadata.get_query_columns  result error,59,29,28,20-39,0.965517,396.86,edit|inspect|other|run|test,3189,2348,93.483,matched success/failure trajectory for the same task and model
CASE-0077,paired,P13,train-00000-of-00012.jsonl,3317,pydantic__pydantic-3975,pydantic__pydantic,swe-agent-llama-405b,True,submitted,Unexpected behaviour if the prefix contains the env_nested_delimiter,39,19,18,10-19,0.947368,224.0,edit|inspect|other|test,3228,5639,82.611,matched success/failure trajectory for the same task and model
CASE-0078,paired,P13,train-00000-of-00012.jsonl,3323,pydantic__pydantic-3975,pydantic__pydantic,swe-agent-llama-405b,False,submitted (exit_context),Unexpected behaviour if the prefix contains the env_nested_delimiter,65,32,31,20-39,0.96875,267.71,edit|inspect|test,5137,2684,88.68,matched success/failure trajectory for the same task and model
CASE-0079,paired,P14,train-00008-of-00012.jsonl,3444,brightway-lca__brightway2-analyzer-19,brightway-lca__brightway2-analyzer,swe-agent-llama-8b,True,submitted (exit_context),Invalid sorting for Contribution results when top contributors are negative (Absolute values),83,41,40,40+,0.97561,419.7,edit|inspect|test,1587,2610,95.634,matched success/failure trajectory for the same task and model
CASE-0080,paired,P14,train-00008-of-00012.jsonl,3455,brightway-lca__brightway2-analyzer-19,brightway-lca__brightway2-analyzer,swe-agent-llama-8b,False,submitted (exit_context),Invalid sorting for Contribution results when top contributors are negative (Absolute values),67,33,32,20-39,0.969697,380.5,edit|inspect|other|test,1257,2611,93.545,matched success/failure trajectory for the same task and model
CASE-0081,paired,P15,train-00004-of-00012.jsonl,522,fronzbot__blinkpy-401,fronzbot__blinkpy,swe-agent-llama-8b,True,submitted,Exception on blink.refresh,71,35,34,20-39,0.971429,292.26,edit|inspect|other|test,521,3593,92.922,matched success/failure trajectory for the same task and model
CASE-0082,paired,P15,train-00004-of-00012.jsonl,537,fronzbot__blinkpy-401,fronzbot__blinkpy,swe-agent-llama-8b,False,submitted (exit_context),Exception on blink.refresh,171,85,84,40+,0.988235,251.14,edit|inspect|other|run|test,795,3724,94.999,matched success/failure trajectory for the same task and model
CASE-0083,paired,P16,train-00001-of-00012.jsonl,1084,palantir__python-language-server-211,palantir__python-language-server,swe-agent-llama-8b,True,submitted (exit_context),Fix ignored and select settings interface with pycodestyle,83,41,40,40+,0.97561,320.52,edit|inspect|test,6451,5493,94.792,matched success/failure trajectory for the same task and model
CASE-0084,paired,P16,train-00001-of-00012.jsonl,1095,palantir__python-language-server-211,palantir__python-language-server,swe-agent-llama-8b,False,submitted (exit_context),Fix ignored and select settings interface with pycodestyle,103,51,50,40+,0.980392,254.36,edit|inspect|test,1607,5523,92.973,matched success/failure trajectory for the same task and model
CASE-0085,paired,P17,train-00008-of-00012.jsonl,4099,palantir__python-jsonrpc-server-37,palantir__python-jsonrpc-server,swe-agent-llama-8b,True,submitted (exit_context),Tests failing with Python 3.8,65,32,30,20-39,0.9375,368.53,edit|inspect|other|run|test,2696,4634,94.062,matched success/failure trajectory for the same task and model
CASE-0086,paired,P17,train-00008-of-00012.jsonl,4089,palantir__python-jsonrpc-server-37,palantir__python-jsonrpc-server,swe-agent-llama-8b,False,submitted (exit_context),Tests failing with Python 3.8,65,32,31,20-39,0.96875,307.06,edit|inspect|other|test,2680,4332,91.804,matched success/failure trajectory for the same task and model
CASE-0087,paired,P18,train-00000-of-00012.jsonl,657,just-work__fffw-100,just-work__fffw,swe-agent-llama-8b,True,submitted (exit_context),Trim sets incorrect duration,139,69,68,40+,0.985507,212.85,edit|inspect|other|test,1424,2938,91.864,matched success/failure trajectory for the same task and model
CASE-0088,paired,P18,train-00000-of-00012.jsonl,628,just-work__fffw-100,just-work__fffw,swe-agent-llama-8b,False,submitted (exit_context),Trim sets incorrect duration,147,73,72,40+,0.986301,248.88,edit|inspect|other|test,1281,2889,92.905,matched success/failure trajectory for the same task and model
